,TCGA-05-4250
0,-1.0699498477057514
1,-2.8051685148005805
2,-2.094454056488284
3,-0.1700720294669122
4,-2.4514158956117598
5,-2.762721526517283
6,-0.2966089125660046
7,-2.880726482916851
8,-0.2586897233695089
9,-0.3208856321359013
10,-4.008947112659423
11,1.732722314799993
12,-0.1091052672343933
13,-1.5508631223561142
14,-2.356691100760324
15,-0.6439399941574282
16,-1.080873654645529
17,-4.730873767042785
18,-1.7956669370220029
19,3.0412630778498744
20,-4.215905823471543
21,-1.464230975799128
22,-0.2449115850500104
23,-1.7192984575033672
24,-0.2018732586662796
25,1.0263884707677742
26,1.4698287819358902
27,-1.6694159637981605
28,-2.630565988817808
29,-1.5517558220046177
30,-0.2066926144359667
31,-2.44496857025385
32,-1.2819430953605937
33,2.776414104845244
34,-1.616908255318328
35,3.716598143410522
36,-0.1611822980817117
37,3.00975426598746
38,1.0475910948121594
39,5.163849021250949
40,-0.0878299064396184
41,1.8554306845755963
42,-2.4190980691011013
43,6.554040133282248
44,-7.103927913243446
45,-3.26427556350742
46,-3.2526631412842963
47,0.0307287430684236
48,2.664355766004352
49,6.968991799434956
50,-0.7641996485165474
51,-1.894216906857656
52,-1.8695761237522563
53,-6.588674541325757
54,2.955056770424544
55,-2.4219531706983912
56,-2.67898597742666
57,-2.747961394415443
58,-8.476532900263848
59,-2.7438642429244253
60,2.4928610101657256
61,-2.0594667186942366
62,-0.697353282736742
63,1.8986316388834168
64,-1.301866766154624
65,0.7617509964923906
66,2.056514311996718
67,-1.2391312138399375
68,4.85163683407387
69,0.6900055045050957
70,4.069477767821178
71,-2.664320579933108
72,-2.721861737018746
73,-1.1526544178271505
74,2.3268781520693937
75,4.70049768826293
76,-1.395046799058026
77,-0.9952194745825564
78,-3.800984483082871
79,0.8724696685736426
80,-2.751615821421848
81,-1.9262203812995935
82,-1.8303758506718968
83,-1.3874056895033942
84,-0.3066383349599362
85,-3.3292657075511976
86,0.0125070260934715
87,3.540734961520662
88,0.4004960807353777
89,3.801937553960794
90,0.58980856321184
91,-2.987572613567034
92,-3.993271704219573
93,0.3325748343071065
94,-0.9972783105761598
95,-2.6067326186896604
